I1,V1,I2,V2
0.000257419,2.60019,5.01727e-08,3.44047e-05
0.000262372,2.65021,5.02891e-08,3.40533e-05
0.00026733,2.7003,5.0134e-08,3.46892e-05
0.000272288,2.75039,5.01985e-08,3.48063e-05
0.000277211,2.80013,4.9986e-08,3.45721e-05
0.000282169,2.8502,5.00334e-08,3.48566e-05
0.000287126,2.90029,4.98433e-08,3.46223e-05
0.000292081,2.95035,4.95938e-08,3.46557e-05
0.000297038,3.00042,4.96036e-08,3.43546e-05
0.00029208,2.95034,4.97687e-08,3.39696e-05
0.000287124,2.90028,4.94033e-08,3.40366e-05
0.000282167,2.8502,4.96035e-08,3.4388e-05
0.00027721,2.80013,4.97508e-08,3.44884e-05
0.000272286,2.75038,4.98403e-08,3.44717e-05
0.000267328,2.7003,5.01503e-08,3.44382e-05
0.00026237,2.65021,5.0106e-08,3.42039e-05
0.000257418,2.60018,5.01469e-08,3.41202e-05
0.000252467,2.55017,4.98667e-08,3.45219e-05
0.000247513,2.50013,5.01017e-08,3.44884e-05
0.000242595,2.45044,4.98018e-08,3.43546e-05
0.00023764,2.4004,5.03189e-08,3.43043e-05
0.000232689,2.35036,5.01515e-08,3.42207e-05
0.000227735,2.30033,5.0472e-08,3.4137e-05
0.000222782,2.2503,5.00838e-08,3.40533e-05
0.000217832,2.20027,5.02728e-08,3.40366e-05
0.000212877,2.15023,5.03678e-08,3.4706e-05
0.000207893,2.09999,5.03403e-08,3.4388e-05
0.000202945,2.05,5.07521e-08,3.43713e-05
0.000197993,1.99998,5.06009e-08,3.50406e-05
0.000193043,1.94997,5.0638e-08,3.4639e-05
0.000188092,1.89995,5.09187e-08,3.44549e-05
0.000183147,1.85,5.09137e-08,3.47896e-05
0.0001782,1.80002,5.0917e-08,3.44047e-05
0.000173251,1.75001,5.12257e-08,3.47896e-05
0.0001683,1.7,5.1292e-08,3.45553e-05
0.00016335,1.64999,5.12515e-08,3.44047e-05
0.000158402,1.6,5.12864e-08,3.46725e-05
0.000153455,1.55003,5.13987e-08,3.46055e-05
0.000148511,1.50008,5.09896e-08,3.44549e-05
0.00014356,1.45006,5.117e-08,3.49402e-05
0.00013861,1.40005,5.13316e-08,3.49402e-05
0.00013366,1.35004,5.14941e-08,3.45888e-05
0.000128713,1.30006,5.13295e-08,3.47896e-05
0.000123765,1.25008,5.14446e-08,3.50741e-05
0.000118816,1.20007,5.17148e-08,3.51912e-05
0.000113868,1.15009,5.16322e-08,3.5208e-05
0.000108916,1.10007,5.18355e-08,3.48398e-05
0.000103967,1.05007,5.15918e-08,3.45219e-05
9.90201e-05,1.00009,5.16924e-08,3.48231e-05
9.4071e-05,0.95009,5.17356e-08,3.49737e-05
8.91193e-05,0.900062,5.18147e-08,3.54924e-05
8.41675e-05,0.850044,5.20083e-08,3.49737e-05
7.92204e-05,0.80006,5.21699e-08,3.4957e-05
